Key,spanish
armorMiningHelmetDesc,"Ofrece una buena defensa y, a menudo, se requiere tener uno mientras se trabaja en las minas o en un sitio de construcción."
armorMilitaryStealthBootsDesc,"Estas botas no tienen penalización por uso de resistencia y amortiguan el ruido del movimiento."
armorHeavyGroupDesc,"Impacto de alta movilidad, buena protección contra daños, sin protección contra la intemperie."
armorSteelGroupDesc,"Impacto de alta movilidad, buena protección contra daños, sin protección contra la intemperie."
drugSteroids,"Esteroides"
drugSteroidsDesc,"Le permite cargar más y realizar acciones normalmente cuando tiene una extremidad torcida o rota."
apparelNightvisionGoggles,"Lentes de visión nocturna"
apparelNightvisionGogglesDesc,"Estas gafas de visión nocturna brindan un poco de protección facial y, cuando se activan, le permiten ver mejor en la oscuridad."
autoTurretSchematic,"Torreta automática SMG"
batterybankSchematic,"Banco de baterías"
bladeTrapSchematic,"Trampa de cuchillas"
bucketEmpty,"Cubo vacío"
bucketEmptyDesc,"Se puede utilizar para transportar agua.\n[decea3]No se puede recolectar agua de ríos, lagos o piscinas, es demasiado tóxica para usarla para nada.[-]"
carBattery,"Bateria de plomo"
cementMixerSchematic,"Mezcladora de cemento"
chemistryStationSchematic,"Mesa de química"
dartTrapSchematic,"Trampa de dardos"
drinkJarBeerSchematic,"Cerveza"
drinkJarCoffeeSchematic,"Café"
drinkJarEmpty,"Frasco vacío"
drinkJarEmptyDesc,"Se puede utilizar para transportar agua.\n[decea3]No se puede recolectar agua de ríos, lagos o piscinas, es demasiado tóxica para usarla para nada.[-]"
drinkJarGoldenRodTeaSchematic,"Té de vara de oro"
drinkJarGrandpasAwesomeSauceSchematic,"Salsa impresionante"
drinkJarGrandpasForgettingElixir,"Elixir del olvido"
drinkJarGrandpasForgettingElixirDesc,"Restablece tus puntos de pericia y te permite redistribuirlos entre atributos y pericias, las habilidades de acción no se ven afectadas."
drinkJarGrandpasLearningElixirSchematic,"Elixir de aprendizaje"
drinkJarGrandpasMoonshineSchematic,"Aguardiente de luna"
drinkJarPureMineralWater,"Agua mineral"
drinkJarRedTeaSchematic,"Té rojo"
drinkYuccaJuiceSmoothieSchematic,"Batido de zumo de yuca"
drugAntibioticsSchematic,"Antibióticos"
drugHerbalAntibioticsSchematic,"Antibióticos a base de hierbas"
drugJailBreakers,"Caramelo del escapista"
drugJailBreakersDesc,"Mejora temporalmente tu habilidad de abrir cerraduras y también aumenta la durabilidad de la herramienta de abrir cerraduras en un [decea3]200%[-]."
electricfencepostSchematic,"Poste de la valla eléctrica"
electrictimerrelaySchematic,"Relé con temporizador eléctrico"
foodBakedPotatoSchematic,"Papa horneada"
foodBaconAndEggsSchematic,"Tocino y huevos"
foodBlueberryPieSchematic,"Pastel de arandanos"
foodBoiledMeatSchematic,"Carne hervida"
foodCanShamSchematic,"Lata de Sham"
foodChiliDogSchematic,"Perrito de chile"
foodCornBreadSchematic,"Pan de maíz"
foodFishTacosSchematic,"Tacos de pescado"
foodGrilledMeatSchematic,"Carne a la parrilla"
foodGumboStewSchematic,"Estofado De Gumbo"
foodHoboStewSchematic,"Estofado de vagabundo"
foodMeatStewSchematic,"Guiso de carne"
foodPumpkinBreadSchematic,"Pan de calabaza"
foodPumpkinCheesecakeSchematic,"Tarta de calabaza con queso"
foodPumpkinPieSchematic,"Pastel de calabaza"
foodShepardsPieSchematic,"Pastel de carne"
foodSpaghettiSchematic,"Espaguetis"
foodSteakAndPotatoSchematic,"Filete con papas"
foodVegetableStewSchematic,"Guiso de verduras"
forgeSchematic,"Horno"
foodTunaFishGravyToastSchematic,"Tostada con salsa de atún"
generatorbankSchematic,"Banco de generadores"
generatorbankSchematicDesc,"La lectura del esquema te enseñará a elaborar este objeto."
gunPistol,"Pistola"
gunPistolDesc,"Una pistola básica desarrollada por Balísticas Kiloton para uso civil estándar. Requiere un cargador para funcionar."
gunBotT1JunkSledge,"Torreta martillo"
gunBotT1JunkSledgeDesc,"Torreta cuerpo a cuerpo robótica de proximidad. Se puede implementar mediante una acción secundaria."
gunBotT1JunkSledgeSchematic,"Torreta martillo"
gunBotT2JunkTurret,"Torreta de chatarra"
gunBotT2JunkTurretDesc,"Puede utilizarse como pistola o colocarse en el suelo"
gunBotT2JunkTurretSchematic,"Torreta de chatarra"
gunBotT3JunkDrone,"Dron de chatarra"
gunBotT3JunkDroneDesc,"Programado para ser un compañero leal en el apocalipsis. Puede ayudarte a llevar algunos objetos o a curarte."
gunBotT3JunkDroneSchematic,"Drone de chatarra"
gunBowT0PrimitiveBow,"Arco primitivo"
gunBowT0PrimitiveBowDesc,"No hace mucho daño, pero es un buen arma a distancia para empezar"
gunBowT1WoodenBow,"Arco de caza"
gunBowT1WoodenBowDesc,"Bueno para cazar y matar"
gunBowT1WoodenBowSchematic,"Arco de caza"
gunBowT3CompoundBow,"Arco compuesto"
gunBowT3CompoundBowDesc,"Hace más daño y es más preciso que los arcos regulares."
gunBowT3CompoundBowSchematic,"Arco compuesto"
gunBowT1IronCrossbow,"Ballesta de hierro"
gunBowT1IronCrossbowDesc,"Lento para recargar, pero inflige más daño en comparación con los arcos y se puede disparar bajo el agua."
gunBowT1IronCrossbowSchematic,"Ballesta de hierro"
gunBowT3CompoundCrossbowSchematic,"Ballesta compuesta"
gunExplosivesT3RocketLauncher,"Lanzacohetes"
gunExplosivesT3RocketLauncherDesc,"Puede causar el infierno y el caos"
gunExplosivesT3RocketLauncherSchematic,"Lanzacohetes"
gunHandgunT0PipePistol,"Revólver oxidado"
gunHandgunT0PipePistolDesc,"Sorprendentemente todavía funcional."
gunHandgunT0PipePistolBlueprint,"Revólver oxidado"
gunHandgunT1Pistol,"Bengala M9"
gunHandgunT1PistolDesc,"Pistola estándar"
gunHandgunT1PistolSchematic,"Bengala M9"
gunHandgunT2Magnum44,"Magnum .44"
gunHandgunT2Magnum44Desc,"Un revólver muy potente, pero ruidoso."
gunHandgunT2Magnum44Schematic,"Magnum .44"
gunHandgunT3DesertVulture,"Desert Vulture"
gunHandgunT3DesertVultureDesc,"Pistola pesada de calibre 44"
gunHandgunT3DesertVultureSchematic,"Desert Vulture"
gunHandgunT3SMG5,"SMG-5"
gunHandgunT3SMG5Desc,"Subfusil ametrallador estándar"
gunHandgunT3SMG5Schematic,"SMG-5"
gunMGT0PipeMachineGun,"Ametralladora de tubos"
gunMGT0PipeMachineGunDesc,"Hecho de chatarra y tuberías, sorprendentemente no ha explotando."
gunMGT0PipeMachineGunBlueprint,"Ametralladora de tubos"
gunMGT1AK47,"AK-47"
gunMGT1AK47Desc,"A pesar de su simplicidad, esta arma puede ser muy poderosa en las manos adecuadas."
gunMGT1AK47Schematic,"AK-47"
gunMGT2TacticalAR,"Rifle de asalto táctico"
gunMGT2TacticalARDesc,"Rifle de asalto de grado militar"
gunMGT2TacticalARSchematic,"Rifle de asalto táctico"
gunMGT3M60,"Ametralladora M60"
gunMGT3M60Desc,"Engorroso de usar, pero sobresale en el fuego automático"
gunMGT3M60Schematic,"Ametralladora M60"
gunRifleT0PipeRifle,"Fusil de tubo"
gunRifleT0PipeRifleDesc,"Arma de fuego primitiva."
gunRifleT0PipeRifleBlueprint,"Fusil de tubo"
gunRifleT1HuntingRifle,"Rifle de caza"
gunRifleT1HuntingRifleDesc,"La elección favorita de algunos granjeros como arma a distancia debido a su combinación de simplicidad y potencia de fuego."
gunRifleT1HuntingRifleSchematic,"Rifle de caza"
gunRifleT2LeverActionRifle,"Rifle de palanca"
gunRifleT2LeverActionRifleDesc,"Hay que hacer que esos disparos cuenten con esto."
gunRifleT2LeverActionRifleSchematic,"Rifle de palanca"
gunRifleT2MarksmanRifle,"Rifle de tirador"
gunRifleT2MarksmanRifleDesc,"Rifle de nivel medio con buena potencia de fuego."
gunRifleT3SniperRifle,"Rifle de francotirador"
gunRifleT3SniperRifleDesc,"El rifle de alta precisión es una excelente opción para disparar a los enemigos a grandes distancias."
gunRifleT3SniperRifleSchematic,"Rifle de francotirador"
gunShotgunT0PipeShotgun,"Escopeta de tubo"
gunShotgunT0PipeShotgunDesc,"Arma de fuego primitiva de corto alcance, efectiva a distancias muy cortas."
gunShotgunT0PipeShotgunBlueprint,"Escopeta de tubo"
gunShotgunT1DoubleBarrel,"Escopeta de doble cañón"
gunShotgunT1DoubleBarrelDesc,"Ideal para matanzas a corta distancia."
gunShotgunT1DoubleBarrelSchematic,"Escopeta de doble cañón"
gunShotgunT2PumpShotgun,"Escopeta de bombeo"
gunShotgunT2PumpShotgunDesc,"Escopeta de cañón largo con carga de acción de bomba"
gunShotgunT2PumpShotgunSchematic,"Escopeta de bombeo"
gunShotgunT3AutoShotgun,"Escopeta automática"
gunShotgunT3AutoShotgunDesc,"La escopeta semiautomática tiene un arma de corto alcance muy devastadora, capaz de convertir en carne picada cualquier cosa que encuentre en su camino."
gunShotgunT3AutoShotgunSchematic,"Escopeta automática"
leatherPoncho,"Poncho"
leatherPonchoDesc,"Este poncho proporciona un poco de protección y te ayuda a sobrevivir en climas cálidos."
lightPlayerNoPowerGroupDesc,"No requiere fuente de alimentación externa"
medicalBloodDrawKit,"Kit de extracción de sangre"
medicalBloodDrawKitDesc,"Utiliza los kits de extracción de sangre para hacer bolsas de sangre. Estas se utilizan para elaborar botiquines de primeros auxilios."
medicalFirstAidBandageSchematic,"Venda de primeros auxilios"
medicalFirstAidKitSchematic,"Botiquín de primeros auxilios"
medicalPlasterCastSchematic,"Escayola"
meleeToolAxeT1IronFireaxe,"Hacha de hierro"
meleeToolAxeT1IronFireaxeDesc,"[decea3]+200%[-] más daño contra los árboles."
meleeToolAxeT2SteelAxe,"Hacha de acero"
meleeToolAxeT2SteelAxeDesc,"[decea3]+300%[-] más daño contra los árboles."
meleeToolAxeT3Chainsaw,"Motosierra"
meleeToolAxeT3ChainsawDesc,"[decea3]+300%[-] más daño contra los árboles."
meleeToolAxeT3ChainsawSchematic,"motosierra"
meleeToolFlashlight02,"Linterna"
meleeToolFlashlight02Desc,"Puede utilizarse para iluminar"
meleeToolHuntingKnife,"Cuchillo de caza"
meleeToolHuntingKnifeDesc,"Herramienta útil para cortar madera y obtener [decea3]resina[-], cactus para obtener [decea3]yuca[-]. También es útil para destripar animales."
meleeToolIronSetSchematic,"Herramientas de hierro"
meleeToolMachete,"Machete de hierro"
meleeToolMacheteDesc,"Herramienta útil para cortar madera y obtener [decea3]Resin[-], cactus para obtener [decea3]Yucca Fruit[-]. También es útil para destripar animales or cortando extremidades de los zombis."
meleeToolPickT1IronPickaxe,"Pico de hierro"
meleeToolPickT1IronPickaxeDesc,"[decea3]+100%[-] más daño al mineral y al asfalto. Bueno para romper piedra y cosechar minerales."
meleeToolPickT2SteelPickaxe,"Steel Pickaxe"
meleeToolPickT2SteelPickaxeDesc,"[decea3]+100%[-] más daño al mineral y al asfalto. Genial para romper piedra y cosechar minerales."
meleeToolPickT3Auger,"Barrena"
meleeToolPickT3AugerDesc,"[decea3]+120%[-] más daño a la tierra y al asfalto."
meleeToolPickT3AugerSchematic,"Barrena"
meleeToolRepairT1ClawHammer,"Martillo de orejas"
meleeToolRepairT1ClawHammerDesc,"Una buena herramienta de reparación y mejora de bloques. Se puede usar como arma."
meleeToolRepairT3Nailgun,"Pistola de clavos"
meleeToolRepairT3NailgunDesc,"La mejor herramienta de reparación y actualización de bloques. Se puede usar como arma."
meleeToolRepairT3NailgunSchematic,"Pistola de clavos"
meleeToolRepairT0StoneAxe,"Hacha de piedra"
meleeToolRepairT0StoneAxeDesc,"[decea3]+200%[-] más daño contra los árboles. No es la mejor arma pero útil para cortar madera."
meleeToolRepairT0TazasStoneAxe,"Hacha de piedra Taza"
meleeToolRepairT0TazasStoneAxeDesc,"[decea3]+200%[-] más daño contra los árboles. El artefacto Apache, se cree que en la batalla hace invencible al portador."
meleeToolSalvageT1Wrench,"Llave inglesa"
meleeToolSalvageT1WrenchDesc,"Herramienta para desmontar dispositivos mecánicos como automóviles, aires acondicionados y más. Puede reparar automóviles"
meleeToolSalvageT1WrenchSchematic,"Llave inglesa"
meleeToolSalvageT2Ratchet,"Trinquete"
meleeToolSalvageT2RatchetDesc,"Herramienta para desmontar dispositivos mecánicos como automóviles, aires acondicionados y más. Puede reparar automóviles"
meleeToolSalvageT2RatchetSchematic,"Trinquete"
meleeToolSalvageT3ImpactDriver,"Destornillador de impacto"
meleeToolSalvageT3ImpactDriverDesc,"Herramienta para desmontar dispositivos mecánicos como automóviles, aires acondicionados y más. Puede reparar automóviles"
meleeToolSalvageT3ImpactDriverSchematic,"Destornillador de impacto"
meleeToolShovelIron,"Pala de hierro"
meleeToolShovelIronDesc,"Una buena herramienta para cavar a través de la tierra, la arena o la nieve."
meleeToolShovelSteel,"Pala de acero"
meleeToolShovelSteelDesc,"Una excelente herramienta para cavar a través de la tierra, la arena o la nieve."
meleeToolShovelT0StoneShovel,"Pala de piedra"
meleeToolShovelT0StoneShovelDesc,"Herramienta de excavación primitiva, útil para recolectar tierra, arena o nieve si no hay una herramienta mejor disponible."
meleeToolShovelT1IronShovel,"Pala de hierro"
meleeToolShovelT1IronShovelDesc,"Una gran herramienta para cavar a través de la tierra, la arena o la nieve."
meleeToolShovelT2SteelShovel,"Pala de acero"
meleeToolShovelT2SteelShovelDesc,"Genial para cavar tierra, arena o nieve"
meleeToolSteelSetSchematic,"Herramientas de acero"
meleeToolTorch,"Antorcha"
meleeToolTorchDesc,"Se puede usar como fuente de luz. Tiene la oportunidad de encender enemigos"
meleeWpnBatonT2StunBaton,"Porra eléctrica"
meleeWpnBatonT2StunBatonDesc,"Una combinación de fuerza bruta y tecnología"
meleeWpnBatonT2StunBatonSchematic,"Porra eléctrica"
meleeWpnBladeT0BoneKnife,"Cuchillo de hueso"
meleeWpnBladeT0BoneKnifeDesc,"Útil para destripar animales. Los ataques pueden causar sangrado."
meleeWpnBladeT1HuntingKnife,"Cuchillo de caza"
meleeWpnBladeT1HuntingKnifeDesc,"Útil para destripar animales. Los ataques pueden causar sangrado."
meleeWpnBladeT1HuntingKnifeSchematic,"Cuchillo de caza"
meleeWpnBladeT1CandyKnife,"Cuchillo de caramelo"
meleeWpnBladeT1CandyKnifeDesc,"!Apuñala a tus enemigos en un estado de ánimo festivo!"
meleeWpnBladeT3Machete,"Machete de chatarra"
meleeWpnBladeT3MacheteDesc,"Útil para destripar animales. Los ataques pueden causar sangrado."
meleeWpnClubT0WoodenClub,"Garrote de madera"
meleeWpnClubT0WoodenClubDesc,"Garrote primitiva, bueno para romper las rodillas y los cráneos."
meleeWpnClubT1BaseballBat,"Bate de béisbol"
meleeWpnClubT1BaseballBatDesc,"Garrote promedia para romper rodillas y cráneos."
meleeWpnClubT1BaseballBatSchematic,"Bate de béisbol"
meleeWpnClubT1CandyClub,"Porra de caña de caramelo"
meleeWpnClubT1CandyClubDesc,"¡Golpea a tus enemigos en un estado de ánimo festivo!"
meleeWpnClubT3SteelClub,"Garrote de acero"
meleeWpnClubT3SteelClubDesc,"Porra dura y duradera para romper las rodillas y los cráneos"
meleeWpnKnucklesT0LeatherKnuckles,"Envolturas de nudillo"
meleeWpnKnucklesT0LeatherKnucklesDesc,"Protege tus manos y hace que los golpes sean más impactantes"
meleeWpnKnucklesT1IronKnuckles,"Nudillos de hierro"
meleeWpnKnucklesT1IronKnucklesDesc,"Protege tus manos y hace que los golpes sean más impactantes"
meleeWpnKnucklesT1IronKnucklesSchematic,"Nudillos de hierro"
meleeWpnKnucklesT3SteelKnuckles,"Nudillos de acero"
meleeWpnKnucklesT3SteelKnucklesDesc,"Protege tus manos y hace que los golpes sean más impactantes. También es útil para destripar animales"
meleeWpnKnucklesT3SteelKnucklesSchematic,"Nudillos de acero"
meleeWpnBatonT0PipeBaton,"Porra de tubería"
meleeWpnBatonT0PipeBatonDesc,"Porra elaborado a partir de piezas y tuberías de basura. Peso ligero, pero aún tiene un golpe decente."
meleeWpnSledgeT0StoneSledgehammer,"Mazo de piedra"
meleeWpnSledgeT0StoneSledgehammerDesc,"Una de las mejores armas para destrozar cráneos."
meleeWpnSledgeT1IronSledgehammer,"Mazo de hierro"
meleeWpnSledgeT1IronSledgehammerDesc,"Una de las mejores armas para destrozar cráneos."
meleeWpnSledgeT1IronSledgehammerSchematic,"Mazo de hierro"
meleeWpnSledgeT3SteelSledgehammer,"Mazo de hierro"
meleeWpnSledgeT3SteelSledgehammerDesc,"Una de las mejores armas para destrozar cráneos."
meleeWpnSledgeT3SteelSledgehammerSchematic,"Mazo de hierro"
meleeWpnSpearT0StoneSpear,"Lanza de piedra"
meleeWpnSpearT0StoneSpearDesc,"Se puede usar como arma cuerpo a cuerpo o arrojadiza"
meleeWpnSpearT1IronSpear,"Lanza de hierro"
meleeWpnSpearT1IronSpearDesc,"Se puede usar como arma cuerpo a cuerpo o arrojadiza"
meleeWpnSpearT1IronSpearSchematic,"Lanza de hierro"
meleeWpnSpearT3SteelSpear,"Lanza de acero"
meleeWpnSpearT3SteelSpearDesc,"Se puede usar como arma cuerpo a cuerpo o arrojadiza"
modArmorAdvancedMuffledConnectors,"Conectores con amortiguamiento avanzado"
modArmorAdvancedMuffledConnectorsSchematic,"Conectores con amortiguamiento avanzado"
modArmorBandolier,"Bandolera para armadura"
modArmorBandolierSchematic,"Bandolera para armadura"
modArmorCoolingMesh,"Malla de enfriamiento"
modArmorCoolingMeshSchematic,"Malla de enfriamiento"
modArmorCustomizedFittings,"Accesorios de armadura avanzados"
modArmorCustomizedFittingsSchematic,"Accesorios de armadura avanzados"
modArmorDoubleStoragePocket,"Bolsillo doble para armadura"
modArmorDoubleStoragePocketDesc,"[decea3]Mod. de armadura[-]\nExpande su capacidad de inventario cuando se instala en casco, pecho, guantes, pantalones o botas."
modArmorDoubleStoragePocketSchematic,"Bolsillo doble para armadura"
modArmorHelmetLight,"Linterna para casco"
modArmorHelmetLightSchematic,"Linterna para casco"
modArmorImpactBracing,"Refuerzos de impacto"
modArmorImpactBracingSchematic,"Refuerzos de impacto"
modArmorImprovedFittings,"Accesorios de armadura mejorados"
modArmorImprovedFittingsSchematic,"Accesorios de armadura mejorados"
modArmorInsulatedLiner,"Revestimiento"
modArmorInsulatedLinerSchematic,"Revestimiento"
modArmorMuffledConnectors,"Conectores amortiguados"
modArmorMuffledConnectorsSchematic,"Conectores amortiguados"
modArmorPlatingBasic,"Blindaje para armadura"
modArmorPlatingBasicSchematic,"Blindaje para armadura"
modArmorPlatingReinforced,"Blindaje avanzado para armadura"
modArmorPlatingReinforcedSchematic,"Blindaje avanzado para armadura"
modArmorStoragePocket,"Bolsillo para armadura"
modArmorStoragePocketDesc,"[decea3]]Mod. de armadura[-]\nExpande su capacidad de inventario cuando se instala en casco, pecho, guantes, pantalones o botas."
modArmorStoragePocketSchematic,"Bolsillo para armadura"
modArmorTripleStoragePocket,"Bolsillo triple para armadura"
modArmorTripleStoragePocketDesc,"[decea3]]Mod. de armadura[-]\nExpande su capacidad de inventario cuando se instala en casco, pecho, guantes, pantalones o botas."
modArmorTripleStoragePocketSchematic,"Blosillo triple para armadura"
modArmorWaterPurifier,"Purificador de agua para casco"
modArmorWaterPurifierSchematic,"Purificador de agua para casco"
modClothingStoragePocket,"Bolsillo para ropa"
modClothingStoragePocketDesc,"[decea3]Mod. de ropa[-]\nExpande su capacidad de inventario cuando se instala en pantalones, camisas o abrigos."
modClothingCargoStoragePocket,"Bolsillo para ropa"
modClothingCargoStoragePocketDesc,"[decea3]Mod. de ropa[-]\nExpande su capacidad de inventario cuando se instala en pantalones, camisas o abrigos."
modFuelTankLarge,"Tanque grande de combustible"
modFuelTankLargeSchematic,"Tanque grande de combustible"
modFuelTankSmall,"Tanque pequeño de combustible"
modFuelTankSmallSchematic,"Tanque pequeño de combustible"
modGunBarrelExtender,"Extensor de cañón"
modGunBarrelExtenderSchematic,"EExtensor de cañón"
modGunBipod,"Bípode"
modGunBipodSchematic,"Bípode"
modGunBowArrowRest,"Apoyador de flechas"
modGunBowArrowRestSchematic,"Apoyador de flechas"
modGunBowPolymerString,"Cadena compuesta"
modGunBowPolymerStringSchematic,"Cadena compuesta"
modGunChoke,"Estrangulador de escopeta"
modGunChokeSchematic,"Estrangulador de escopeta"
modGunCrippleEm,"Crippador"
modGunCrippleEmSchematic,"Crippador"
modGunDrumMagazineExtender,"Tambor de munición"
modGunDrumMagazineExtenderDesc,"Este gran tambor de munición incrementa la capacidad de balas en las ametralladoras, pero es un poco más lento al recargar."
modGunDuckbill,"Estrangulador de escopeta pico de pato"
modGunDuckbillSchematic,"Estrangulador de escopeta pico de pato"
modGunFlashlight,"Linterna para arma"
modGunFlashlightSchematic,"Linterna para arma"
modGunForegrip,"Empuñadura delantera"
modGunForegripSchematic,"Empuñadura delantera"
modGunLaserSight,"Mira láser"
modGunLaserSightSchematic,"Mira láser"
modGunMagazineExtender,"Extensor de cargador"
modGunMagazineExtenderSchematic,"Extensor de cargador"
modGunMeleeBlessedMetal,"Kit de aleación exótica"
modGunMeleeBlessedMetalDesc,"Aumento del daño a no muertos."
modGunMeleeBlessedMetalSchematic,"Kit de aleación exótica"
modGunMeleeRadRemover,"Eliminador de radiaciones"
modGunMeleeRadRemoverSchematic,"Eliminador de radiaciones"
modGunMeleeTheHunter,"Kit de cazador"
modGunMeleeTheHunterDesc,"Aumenta el daño a todos los animales."
modGunMeleeTheHunterSchematic,"Kit de cazador"
modGunMuzzleBrake,"Freno de boca"
modGunMuzzleBrakeSchematic,"Freno de boca"
modGunReflexSight,"Mira reflectante"
modGunReflexSightSchematic,"Mira reflectante"
modGunRetractingStock,"Retracting Stock"
modGunRetractingStockSchematic,"Retracting Stock"
modGunScopeSmall,"Mira 2x"
modGunScopeSmallSchematic,"Mira 2x"
modGunScopeMedium,"Mira 4x"
modGunScopeMediumSchematic,"Mira 4x"
modGunScopeLarge,"Mira 8x"
modGunScopeLargeSchematic,"Mira 8x"
modGunSoundSuppressorSilencer,"Silenciador"
modGunSoundSuppressorSilencerSchematic,"Silenciador"
modGunTriggerGroupBurst3,"Gatillo: Ráfaga"
modGunTriggerGroupBurst3Schematic,"Gatillo: Ráfaga"
modGunTriggerGroupAutomatic,"Gatillo: Automático"
modGunTriggerGroupAutomaticSchematic,"Gatillo: Automático"
modGunTriggerGroupSemi,"Gatillo: Semi"
modGunTriggerGroupSemiSchematic,"Gatillo: Semi"
modMeleeBunkerBuster,"Destructor de búnkeres"
modMeleeBunkerBusterDesc,"Incrementa el daño contra [decea3]piedra[-]."
modMeleeBunkerBusterSchematic,"Destructor de búnkeres"
modMeleeClubBurningShaft,"Eje en llamas"
modMeleeClubBurningShaftSchematic,"Eje en llamas"
modMeleeClubBarbedWire,"Mod de alambre de púas"
modMeleeClubBarbedWireSchematic,"Mod de alambre de púas"
modMeleeClubMetalSpikes,"Mod de hierro de púas"
modMeleeClubMetalSpikesSchematic,"Mod de hierro de púas"
modMeleeDiamondTip,"Punta de diamante"
modMeleeDiamondTipDesc,"Cualquier herramienta manual o arma de hoja se degrada más lentamente con esta modificación."
modMeleeErgonomicGrip,"Empuñadura ergonómica"
modMeleeErgonomicGripSchematic,"Empuñadura ergonómica"
modMeleeFiremansAxeMod,"Hoja de bombero"
modMeleeFiremansAxeModDesc,"Inflige más daño a los bloqueos, pero menos daño a los enemigos."
modMeleeFortifyingGrip,"Agarre fortificado"
modMeleeFortifyingGripSchematic,"Agarre fortificado"
modMeleeGraveDigger,"Enterrador"
modMeleeGraveDiggerDesc,"Incrementa el daño contra [decea3]tierra[-]."
modMeleeGraveDiggerSchematic,"Enterrador"
modMeleeIronBreaker,"Triturador de hierro"
modMeleeIronBreakerDesc,"Incrementa el daño contra [decea3]hierro[-]."
modMeleeIronBreakerSchematic,"Triturador de hierro"
modMeleeSerratedBlade,"Hoja dentada"
modMeleeSerratedBladeSchematic,"Hoja dentada"
modMeleeStructuralBrace,"Refuerzo estructural"
modMeleeStructuralBraceDesc,"Las armas cuerpo a cuerpo y las herramientas se degradan más lentamente."
modMeleeStructuralBraceSchematic,"Refuerzo estructural"
modMeleeTemperedBlade,"Hoja templada"
modMeleeTemperedBladeDesc,"Modificación de la hoja que aumenta el daño por bloqueo y hace que el arma se degrade más lentamente."
modMeleeTemperedBladeSchematic,"Hoja templada"
modMeleeWeightedHead,"Cabeza ponderada"
modMeleeWeightedHeadDesc,"Una modificación para algunas armas y herramientas cuerpo a cuerpo, que agrega la posibilidad de aturdir y ralentizar a las víctimas."
modMeleeWeightedHeadSchematic,"Cabeza ponderada"
modMeleeWoodSplitter,"Astilladora de madera"
modMeleeWoodSplitterDesc,"Incrementa el daño contra [decea3]madera[-]."
modMeleeWoodSplitterSchematic,"Astilladora de madera"
modRoboticDroneArmorPlatingMod,"Blindaje para drones"
modRoboticDroneArmorPlatingModSchematic,"Blindaje para drones"
modRoboticDroneCargoMod,"Extensor de carga para drones"
modRoboticDroneCargoModSchematic,"Extensor de carga para drones"
modRoboticDroneHeadlampMod,"Luz de dron"
modRoboticDroneHeadlampModSchematic,"Luz de dron"
modRoboticDroneMedicMod,"Kit médico para drones"
modRoboticDroneMedicModSchematic,"Kit médico para drones"
modRoboticDroneMoraleBoosterMod,"Elevador de moral de drones"
modRoboticDroneMoraleBoosterModSchematic,"Elevador de moral de drones"
modShotgunSawedOffBarrel,"Mod de escopeta recortada"
modShotgunSawedOffBarrelSchematic,"Mod de escopeta recortada"
modVehicleExpandedSeat,"Asiento extra para vehículos"
modVehicleExpandedSeatSchematic,"Asiento extra para vehículos"
modVehicleFuelSaver,"Ahorrador de combustible para vehículos"
modVehicleFuelSaverSchematic,"Ahorrador de combustible para vehículos"
modVehicleOffRoadHeadlights,"Luces de vehículos todoterreno"
modVehicleOffRoadHeadlightsSchematic,"Luces de vehículos todoterreno"
modVehicleReserveFuelTank,"Depósito de combustible de reserva del vehículo"
modVehicleReserveFuelTankDesc,"Aumenta el almacenamiento de combustible de su vehículo."
modVehicleReserveFuelTankSchematic,"Depósito de combustible de reserva del vehículo"
modVehicleSuperCharger,"Sobrealimentador de vehículos"
modVehicleSuperChargerSchematic,"Sobrealimentador de vehículos"
motionsensorSchematic,"Sensor de movimiento"
oldCash,"Dinero antiguo"
oldCashDesc,"Esto solía ser legal. Un gran sustituto del papel higiénico. Algunos comerciantes podrían estar interesados en comprar esto."
questReward4x4PartsBundle,"Paquete de piezas de automóviles"
poweredDoorsSchematic,"Puertas y puentes motorizados"
pressureplateSchematic,"Sensores básicos"
resourceBrassObjectGroupDesc,"Se puede desechar en [decea3]desechos de latón[-] en tu mochila o en el banco de trabajo"
resourceBrokenGlass,"Desecho de vidrio"
resourceBrokenGlassDesc,"Los cristales rotos pueden fundirse en la fragua o utilizarse para acabar con todo si el apocalipsis es demasiado para ti."
resourceBulletCasing,"Casquillo de bala"
resourceBulletCasingDesc,"Carcasa de latón para armas de fuego basadas en proyectiles. Mantiene unidas todas las partes de la munición."
resourceBulletTip,"Punta de bala"
resourceBulletTipDesc,"Punta de bala para armas de fuego basadas en proyectiles. También se conoce como el proyectil de la ronda, fundido a partir de plomo fundido."
resourceClayLump,"Arcilla"
resourceClayLumpDesc,"Recurso clave para la forja. Se extrae de la tierra en pequeñas cantidades junto con la tierra. También se puede fabricar mezclando tierra con agua."
resourceCobblestones,"Adoquines"
resourceCobblestonesDesc,"Con los adoquines se pueden construir estructuras de piedra sorprendentemente sólidas."
resourceCrushedSand,"Arena"
resourceCrushedSandDesc,"Recurso básico, que puede cosecharse en el desierto y utilizarse para fabricar vidrio, cemento y hormigón."
resourceFeather,"Pluma"
resourceFeatherDesc,"Las plumas se encuentran principalmente en los nidos de las aves y en las gallinas. Se pueden utilizar para fabricar flechas y virotes de ballesta."
resourceFemur,"Hueso grande"
