Key,german
modMeleeFortifyingGripSchematic,"Verstärkungsgriff"
modMeleeGraveDigger,"Totengräber"
modMeleeGraveDiggerDesc,"Erhöht den Schaden an [decea3]Erde[-]."
modMeleeGraveDiggerSchematic,"Totengräber"
modMeleeIronBreaker,"Eisenbrecher"
modMeleeIronBreakerDesc,"Erhöht den Schaden an [decea3]Eisen[-]."
modMeleeIronBreakerSchematic,"Eisenbrecher"
modMeleeSerratedBlade,"Gezackte Klinge"
modMeleeSerratedBladeSchematic,"Gezackte Klinge"
modMeleeStructuralBrace,"Strukturelle Klammer"

modMeleeStructuralBraceSchematic,"Strukturelle Klammer"
modMeleeTemperedBlade,"Gehärtete Klinge"

modMeleeTemperedBladeSchematic,"Gehärtete Klinge"
modMeleeWeightedHead,"Beschwerter Kopf"

modMeleeWeightedHeadSchematic,"Beschwerter Kopf"
modMeleeWoodSplitter,"Holzspalter"
modMeleeWoodSplitterDesc,"Erhöht den Schaden an [decea3]Holz[-]."
modMeleeWoodSplitterSchematic,"Holzspalter"
modRoboticDroneArmorPlatingMod,"Drohnen-Panzerung"
modRoboticDroneArmorPlatingModSchematic,"Drohnen-Panzerung"
modRoboticDroneCargoMod,"Drohnen-Lagererweiterung"
modRoboticDroneCargoModSchematic,"Drohnen-Lagererweiterung"
modRoboticDroneHeadlampMod,"Drohnen-Scheinwerfer"
modRoboticDroneHeadlampModSchematic,"Drohnen-Scheinwerfer"
modRoboticDroneMedicMod,"Drohnen-Erste-Hilfe-Set"
modRoboticDroneMedicModSchematic,"Drohnen-Erste-Hilfe-Set"
modRoboticDroneMoraleBoosterMod,"Drohnen-Moralverstärker"
modRoboticDroneMoraleBoosterModSchematic,"Drohnen-Moralverstärker"
modShotgunSawedOffBarrel,"Abgesägte Schrotflinte"
modShotgunSawedOffBarrelSchematic,"Abgesägte Schrotflinte"
modVehicleExpandedSeat,"Fahrzeug-Sitzplatzerweiterung"
modVehicleExpandedSeatSchematic,"Fahrzeug-Sitzplatzerweiterung"
modVehicleFuelSaver,"Fahrzeug-Brennstoffsparer"
modVehicleFuelSaverSchematic,"Fahrzeug-Brennstoffsparer"
modVehicleOffRoadHeadlights,"Fahrzeug-Geländescheinwerfer"
modVehicleOffRoadHeadlightsSchematic,"Fahrzeug-Geländescheinwerfer"
modVehicleReserveFuelTank,"Fahrzeug-Reserve-Treibstofftank"
modVehicleReserveFuelTankDesc,"Erhöht den Treibstoffvorrat deines Fahrzeugs."
modVehicleReserveFuelTankSchematic,"Fahrzeug-Reserve-Treibstofftank"
modVehicleSuperCharger,"Fahrzeug-Super-Ladegerät"
modVehicleSuperChargerSchematic,"Fahrzeug-Super-Ladegerät"
motionsensorSchematic,"Bewegungssensor"
oldCash,"Altes Geld"
oldCashDesc,"Dies war früher ein gesetzliches Zahlungsmittel. Ein großartiger Ersatz für Toilettenpapier. Einige Händler könnten daran interessiert sein, es zu kaufen."
questReward4x4PartsBundle,"Autoteile-Paket"
poweredDoorsSchematic,"Elektrische Türen und Brücken"
pressureplateSchematic,"Einfache Sensoren"
resourceAcidBlueprint,"Säure"
resourceBrokenGlass,"Zerbrochenes Glas"
resourceBrokenGlassDesc,"Zerbrochenes Glas kann in der Schmiede zu Glas geschmolzen werden, oder man kann es verwenden, um dem Ganzen ein Ende zu setzen, wenn die Apokalypse einfach zu viel für einen ist."
resourceBulletCasing,"Patronenhülse"
resourceBulletCasingDesc,"Messinggehäuse für Projektilwaffen. Hält alle Teile der Munition zusammen."
resourceBulletTip,"Patronenspitze"
resourceBulletTipDesc,"Eine Geschossspitze für projektilbasierte Feuerwaffen. Auch bekannt als das Geschoss der Patrone, das aus geschmolzenem Blei gegossen wird."
resourceClayLump,"Lehm"
resourceClayLumpDesc,"Wichtiger Rohstoff zum Schmieden. Wird in kleinen Mengen zusammen mit Erde aus der Erde gegraben. Kann auch durch Mischen von Erde mit Wasser hergestellt werden."
resourceCobblestones,"Pflasterstein"
resourceCobblestonesDesc,"Mit Pflastersteinen lassen sich erstaunlich stabile Steinbauten errichten."
resourceCrushedSand,"Sand"
resourceCrushedSandDesc,"Hauptrohstoff, der durch weitere Zerkleinerung von Steinmehl oder zur Herstellung von Glas verwendet werden kann."
resourceFeather,"Feder"
resourceFeatherDesc,"Federn findet man hauptsächlich in Vogelnestern und an Hühnern. Sie können zur Herstellung von Pfeilen und Armbrustbolzen verwendet werden."
resourceFemur,"Großer Knochen"
resourceFemurDesc,"Du kannst [decea3]Knochenpulver[-] erhalten, indem du ihn zerkleinerst. [decea3]Knochenpulver[-] wird zur Herstellung von [decea3]Leim[-] verwendet."
resourceFishingWeight,"Angelgewichte"
resourceFishingWeightDesc,"Bleigegenstände können im [decea3]Wiederverwerter[-] zu Bleischrott zerlegt werden."
resourceForgedIron,"Eisenplatten"
resourceForgedIronDesc,"Wird durch Verformung von Eisenbarren zu flachen, geschmiedeten Eisenstücken hergestellt. Wird zum Herstellen, Reparieren und Verbessern einer Vielzahl von Gegenständen verwendet."
resourceForgedSteel,"Stahlplatten"
resourceForgedSteelDesc,"Wird durch das Formen von Stahlbarren zu flachen Schmiedestücken aus Stahl hergestellt. Kann für die Herstellung einiger der stärksten Gegenstände im Spiel verwendet werden."
resourceGoldNugget,"Goldklumpen"
resourceGoldNuggetDesc,"Ein glänzender, dicht gepackter Klumpen, der in einen Barren eingeschmolzen werden kann, um dessen Wert zu erhöhen."
resourceGunPowder,"Schießpulver"
resourceGunPowderDesc,"Schießpulver aus Kohle, Nitrat und Schwefel kann zur Herstellung eigener Munition und Sprengstoffe verwendet werden."
resourceLockPick,"Dietrich"
resourceLockPickDesc,"Wenn du Dietriche in deinem Inventar hast, kannst du Schlösser knacken, indem du 'E' gedrückt hälst und die Aktion 'Schlossknacken' auswählst.\nSie müssen nicht am Werkzeuggürtel getragen werden."
resourceLockPickBlueprint,"Dietrich"
resourceMetalPipe,"Eisenrohr"
resourceMetalPipeDesc,"Ein recht gewöhnliches kurzes Eisenrohr. Kann für eine Vielzahl von Rezepten verwendet werden."
resourceMilitaryFiberSchematic,"Militär-Faser"
resourceOilSchematic,"Öl"
resourceRadiator,"Messing-Heizkörper"
resourceRadiatorDesc," "
resourceRawDiamond,"Rohdiamant"
resourceRawDiamondDesc,"Hätte ich das nur gefunden, bevor die Apokalypse begann, ich frage mich, ob es ein Blutdiamant ist."
resourceRepairKit,"Reparatursatz"
resourceRepairKitDesc,"Ermöglicht das Reparieren von Werkzeugen oder Waffen aus [decea3]Eisen[-]"
resourceRepairKitBlueprint,"Reparatursatz""
resourceRocketCasing,"Raketengehäuse"
resourceRocketCasingDesc,"Ein Raketengehäuse wird für die Herstellung von Munition für den Raketenwerfer verwendet."
resourceRocketTip,"Raketenzünder"
resourceRocketTipDesc,"Ein Raketenzünder wird zur Herstellung von Munition für den Raketenwerfer verwendet."
resourceScrapBrass,"Messingschrott"
resourceScrapBrassDesc,"Ein wichtiger Rohstoff zum Schmieden, aus dem unter anderem Munitionshülsen hergestellt werden können."
resourceScrapIron,"Eisenschrott"
resourceScrapIronDesc,"Eine wichtige Ressource zum Herstellen, Schmieden, Reparieren und Aufwerten. Neben Holz gibt es nichts Nützlicheres."
resourceScrapLead,"Bleischrott"
resourceScrapLeadDesc,"Eine wichtige Ressource für das Schmieden. Kann zur Herstellung von Geschossspitzen und mehr verwendet werden."
resourceScrapPolymers,"Plastikschrott"
resourceScrapPolymersDesc,"Wahllos zusammengewürfelte Kunststoffreste, die du behutsam zu neuen Formen verarbeiten kannst."
resourceSilverNugget,"Silberklumpen"
resourceSilverNuggetDesc,"Vielleicht sollte ich das behalten, denn Werwölfe in der Apokalypse sind durchaus möglich, oder?"
resourceTrophy1,"Messing-Trophäe"
resourceTrophy1Desc,"Wäre nützlicher, wenn sie [decea3]Wiederverwerter[-] zerlegt wird."
resourceTrophy2,"Blei-Trophäe"
resourceTrophy2Desc,"Bleigegenstände können im [decea3]Wiederverwerter[-] zu Bleischrott zerlegt werden."
resourceWood,"Alte Holzbretter"
resourceWoodDesc,"Einige alte Bretter, die keinen großen Nutzen mehr haben"

shotgunTurretSchematic,"Schrotflinten-Geschützturm"
smallEngine,"Kompakter Motor"
smallEngineDesc,"Kleiner Motor für kleine Fahrzeuge oder Werkzeuge"
speakerSchematic,"Elektrischer Lautsprecher"
spotlightPlayerSchematic,"Elektrischer Scheinwerfer"
switchSchematic,"Elektrischer Schalter"
toolBeaker,"Messbecher"
toolBeakerDesc,"Erforderliches Werkzeug für den Bau einer Chemiestation."
toolBeakerBlueprint,"Messbecher"
toolBellows,"Blasebalg"
toolBellowsDesc,"Ermöglicht eine bessere Steuerung des Luftstroms in der Schmiede und erhöht die Herstellungsgeschwindigkeit um [decea3]25%[-]"
toolBellowsSchematic,"Blasebalg"
resourceYuccaFibers,"Pflanzenfasern"
resourceYuccaFibersDesc,"Pflanzenfasern erhält man durch das Zerstören von Gras und kleinen Pflanzen. Sie können zum Herstellen vieler Dinge und zum Anpflanzen von Gras mit der sekundären Aktion verwendet werden."
thrownDynamite,"Dynamit"
thrownDynamiteDesc,"Kann mit der Sekundäraktion angezündet und mit der Primäraktion geworfen werden. Der Wurf-Akt ist sehr wichtig."
thrownDynamiteSchematic,"Dynamit"
thrownAmmoPipeBomb,"Rohrbombe"
thrownAmmoPipeBombSchematic,"Rohrbombe"
thrownGrenade,"Granate"
thrownGrenadeSchematic,"Granate"
thrownGrenadeContact,"Kontakt-Granate"
thrownGrenadeContactSchematic,"Kontaktgranate"
thrownTimedCharge,"Zeitgesteuerte Ladung"
toolAnvil,"Amboss"
toolAnvilDesc,"Erforderlich für die Herstellung der [decea3]Schmiede (Stufe 2)[-], mit der fortschrittlichere Metalle geformt werden können."
toolAnvilSchematic,"Amboss"
toolForgeCrucible,"Schmelztiegel"
toolForgeCrucibleDesc,"Erforderlich für die Herstellung von [decea3]Schmelzofen (Stufe 2)[-], der die Verarbeitung von Silber, Gold, Stahl und Titan ermöglicht."
toolForgeCrucibleSchematic,"Schmelztiegel"
vehicle4x4TruckAccessoriesSchematic,"4x4 Zubehör"
vehicle4x4TruckChassisSchematic,"4x4 Rahmen"
vehicle4x4TruckPlaceable,"4x4 Geländewagen"
vehicle4x4TruckPlaceableDesc,"Befahrbares Fahrzeug. Verwende die sekundäre Aktion, um es in der Welt zu platzieren."
vehicleBicycleHandlebarsSchematic,"Fahrradlenker"
vehicleBicycleChassisSchematic,"Fahrradrahmen"
vehicleBicyclePlaceable,"Mountainbike"
vehicleBicyclePlaceableDesc,"Befahrbares Fahrzeug. Benutze die Sekundäraktion, um es in der Welt zu platzieren."
vehicleGyroCopterAccessoriesSchematic,"Tragschrauber-Zubehör"
vehicleGyroCopterChassisSchematic,"Tragschrauber-Rahmen"
vehicleGyrocopterPlaceable,"Tragschrauber"
vehicleGyrocopterPlaceableDesc,"Fahrbares Fahrzeug. Benutze die Sekundäraktion, um es in der Welt zu platzieren."
vehicleMinibikeChassisSchematic,"Minibike-Rahmen"
vehicleMinibikeHandlebarsSchematic,"Minibike-Lenker"
vehicleMinibikePlaceable,"Minibike"
vehicleMinibikePlaceableDesc,"Fahrbares Fahrzeug. Benutze die Sekundäraktion, um es in der Welt zu platzieren."
vehicleMotorcycleChassisSchematic,"Motorrad-Rahmen"
vehicleMotorcycleHandlebarsSchematic,"Motorrad-Lenker"
vehicleMotorcyclePlaceable,"Motorrad"
vehicleMotorcyclePlaceableDesc,"Fahrbares Fahrzeug. Benutze die Sekundäraktion, um es in der Welt zu platzieren."
workbenchSchematic,"Werkbank"
mineCookingPotBlueprint,"Kochtopf-Mine"
rScrapIronPlateMineBlueprint,"Druckplatten-Mine"
mineHubcapBlueprint,"Radkappen-Mine"
thrownTimedChargeBlueprint,"Zeitgesteuerte Ladung"
mineAirFilterBlueprint,"Luftfilter-Mine"
armorIronSetSchematic,"Eisenrüstung"
armorIronHelmetBlueprint,"Eisenhelm"
armorIronChestBlueprint,"Eisenbrustpanzer"
armorIronGlovesBlueprint,"Eisenhandschuhe"
armorIronLegsBlueprint,"Eisenbeinschienen"
armorIronBootsBlueprint,"Eisenstiefel"
armorSteelHelmetBlueprint,"Stahlhelm"
armorSteelChestBlueprint,"Stahlbrustpanzer"
armorSteelGlovesBlueprint,"Stahlhandschuhe"
armorSteelLegsBlueprint,"Stahlbeinschienen"
armorSteelBootsBlueprint,"Stahlstiefel"
armorLeatherSetSchematic,"Lederrüstung"
armorLeatherHelmetBlueprint,"Lederhelm"
armorLeatherChestBlueprint,"Lederbrustpanzer"
armorLeatherGlovesBlueprint,"Lederhandschuhe"
armorLeatherLegsBlueprint,"Lederbeinschienen"
armorLeatherBootsBlueprint,"Lederstiefel"
armorMilitarySetSchematic,"Militärrüstung"
armorMilitaryHelmetBlueprint,"Militärhelm"
armorMilitaryChestBlueprint,"Militärbrustpanzer"
armorMilitaryGlovesBlueprint,"Militärhandschuhe"
armorMilitaryLegsBlueprint,"Militärbeinschienen"
armorMilitaryBootsBlueprint,"Militärstiefel"
meleeToolRepairT1ClawHammerBlueprint,"Klauenhammer"
meleeToolAxeT1IronFireaxeBlueprint,"Eiserne Feueraxt"
meleeToolPickT1IronPickaxeBlueprint,"Eisenspitzhacke"
meleeToolShovelT1IronShovelBlueprint,"Eisenschaufel"
meleeToolAxeT2SteelAxeBlueprint,"Stahlaxt"
meleeToolPickT2SteelPickaxeBlueprint,"Stahlspitzhacke"
meleeToolShovelT2SteelShovelBlueprint,"Stahlschaufel"
meleeWpnBladeT3MacheteSchematic,"Machete"
meleeWpnClubT3SteelClubBlueprint,"Stahlknüppel"
meleeWpnSpearT3SteelSpearBlueprint,"Stahlspeer"
drugSteroidsBlueprint,"Steroide"
drugFortBitesBlueprint,"Fort-Bites"
drugRecogBlueprint,"Recog"
ceilingLight01_playerBlueprint,"Einfache Glühbirne"
industrialLight01_playerBlueprint,"Industrielles Licht"
industrialLight02_playerBlueprint,"Industrielle Glühbirne"
ceilingLight07_playerBlueprint,"Fluoreszierendes Licht"
electricwirerelayBlueprint,"Elektrokabelverschaltung"
pressureplateLongBlueprint,"Auslöseplatte 1x5"
tripwirepostBlueprint,"Stolperdraht-Pfosten"
vehicleWheelsBlueprint,"Rad"
carBatteryBlueprint,"Blei-Auto-Batterie"
armorMiningHelmetBlueprint,"Bergbau-Helm"
garageDoorMetal_v1PoweredBlueprint,"Elektrisches Stahl-Garagentor 3x2"
vaultDoor03_PoweredBlueprint,"Motorisierte T3 Tresortür"
vaultHatch_v3_PoweredBlueprint,"Verstärkte T3 Tresor-Luke"
garageDoorIndustrial_PoweredBlueprint,"Elektrisches Stahl-Garagentor 5x3"
metalReinforcedWoodDrawBridgePoweredBlueprint,"Motorisierte verstärkte Zugbrücke"
ulmAmmo10mmRoundST,"10mm Munition"
ulmAmmo10mmRoundSTDesc,"10mm [decea3]Standard[-] Patronen, üblicherweise verwendet von [decea3]Maschinenpistolen[-]."
ulmAmmo10mmRoundHP,"10mm Munition (HP)"
ulmAmmo10mmRoundHPDesc,"10mm [decea3]Hohlspitz[-] Patronen, eine alternative Munition für [decea3]Maschinenpistolen[-], die eine bessere Durchschlagskraft und Präzision aufweist. In den meisten Gebieten verboten."
ulmAmmo10mmRoundHPBlueprint,"10mm (HP) Munition"
ulmAmmo10mmRoundAP,"10mm (AP) Munition"
ulmAmmo10mmRoundAPDesc,"10mm [decea3]panzerbrechende[-] Patronen, eine alternative Munition für [decea3]Maschinenpistolen[-] mit viel höherer Durchschlagskraft im Vergleich zu StandardMunition."
ulmAmmo10mmRoundAPBlueprint,"10mm (AP) Munition"
ulmAmmo38CalRoundST,"Kaliber .38 Munition"
ulmAmmo38CalRoundSTDesc,"Kaliber .38 [decea3]Standard[-] Patronen, üblicherweise verwendet von [decea3]leichten Handfeuerwaffen[-]."
ulmAmmo38CalRoundHP,"Kaliber .38 (HP) Munition"
ulmAmmo38CalRoundHPDesc,"Kaliber .38 [decea3]Hohlspitz[-] Patronen, eine alternative Munition für [decea3]leichte Handfeuerwaffen[-], die eine bessere Durchschlagskraft und Präzision aufweist. In den meisten Gebieten verboten."
ulmAmmo38CalRoundHPBlueprint,".38 (HP) Munition"
ulmAmmo38CalRoundAP,"Kaliber .38 (AP) Munition"
ulmAmmo38CalRoundAPDesc,"Kaliber .38 [decea3]panzerbrechende[-] Patronen, eine alternative Munition für [decea3]leichte Handfeuerwaffen[-] mit viel höherer Durchschlagskraft im Vergleich zu Standardmunition."
ulmAmmo38CalRoundAPBlueprint,"Kaliber .38 (AP) Munition"
ulmAmmo50CalRoundST,"Kaliber .50 BMG Munition"
ulmAmmo50CalRoundSTDesc,"Kaliber .50 [decea3]Standard[-] Patronen, üblicherweise verwendet von [decea3]Scharfschützengewehren[-]."
ulmAmmo50CalRoundHP,"Kaliber .50 BMG (HP) Munition"
ulmAmmo50CalRoundHPDesc,"Kaliber .50 [decea3]Hohlspitz[-] Patronen, eine alternative Munition für [decea3]Scharfschützengewehre[-], die eine bessere Durchschlagskraft und Präzision aufweist. In den meisten Gebieten verboten."
ulmAmmo50CalRoundHPBlueprint,"Kaliber .50 BMG (HP) Munition"
ulmAmmo50CalRoundAP,"Kaliber .50 BMG (AP) Munition"
ulmAmmo50CalRoundAPDesc,"Kaliber .50 [decea3]panzerbrechende[-] Patronen, eine alternative Munition für [decea3]Scharfschützengewehre[-] mit viel höherer Durchschlagskraft im Vergleich zu Standardmunition."
ulmAmmo50CalRoundAPBlueprint,"Kaliber .50 BMG (AP) Munition"
ulmAmmo556mmRoundST,"5.56mm Munition"
ulmAmmo556mmRoundSTDesc,"5.56mm [decea3]Standard[-] Patronen, üblicherweise verwendet von [decea3]Sturmgewehren[-]."
ulmAmmo556mmRoundHP,"5,56mm (HP) Munition"
ulmAmmo556mmRoundHPDesc,"5.56mm [decea3]Hohlspitz[-] Patronen, eine alternative Munition für [decea3]Sturmgewehre[-], die eine bessere Durchschlagskraft und Präzision aufweist. In den meisten Gebieten verboten."
ulmAmmo556mmRoundHPBlueprint,"5.56mm (HP) Munition"
ulmAmmo556mmRoundAP,"5.56mm (AP) Munition"
ulmAmmo556mmRoundAPDesc,"5.56mm [decea3]panzerbrechende[-] Patronen, eine alternative Munition für [decea3]Sturmgewehre[-] mit viel höherer Durchschlagskraft im Vergleich zu Standardmunition."
ulmAmmo556mmRoundAPBlueprint,"5.56mm (AP) Munition"
ulmAmmo792mmRoundST,"7.92mm Munition"
ulmAmmo792mmRoundSTDesc,"7,92mm [decea3]Standard[-] Patronen, üblicherweise verwendet von [decea3]Scharfschützengewehren[-]."
ulmAmmo792mmRoundHP,"7,92mm (HP) Munition"
ulmAmmo792mmRoundHPDesc,"7.92mm [decea3]Hohlspitz[-] Patronen, eine alternative Munition für [decea3]Scharfschützengewehre[-], die eine bessere Durchschlagskraft und Präzision aufweist. In den meisten Gebieten verboten."
ulmAmmo792mmRoundHPBlueprint,"7.92mm (HP) Munition"
ulmAmmo792mmRoundAP,"7,92mm (AP) Munition"
ulmAmmo792mmRoundAPDesc,"7.92mm [decea3]panzerbrechende[-] Patronen, eine alternative Munition für [decea3]Scharfschützengewehre[-] mit viel höherer Durchschlagskraft im Vergleich zu Standardmunition."
ulmAmmo792mmRoundAPBlueprint,"7,92mm (AP) Munition"
ulmAmmoFuelBiofuel,"Biotreibstoff"
ulmAmmoFuelBiofuelDesc,"Tragbarer Behälter, der etwas Biotreibstoff enthalten kann."
ulmAmmoFuelBarrelEmpty,"Leeres Treibstoff-Fass"
ulmAmmoFuelBarrelEmptyDesc,"Tragbarer Behälter für bis zu [decea3]60[-]L Benzin. Benzin gewinnst du durch Herstellung oder durch Interaktion mit einem Objekt das Benzin enthält."
ulmAmmoFuelCanEmpty,"Leerer Benzinkanister"
ulmAmmoFuelCanEmptyDesc,"Tragbarer Behälter für bis zu [decea3]20[-]L Benzin. Benzin gewinnst du durch Herstellung oder durch Interaktion mit einem Objekt das Benzin enthält."
ulmAmmoFuelGasoline,"Benzinkanister"
ulmAmmoFuelGasolineDesc,"Tragbarer Behälter, in dem bis zu [decea3]20[-] Benzin gelagert werden kann."
ulmAmmoFuelGasolineBarrel,"Benzin-Fass"
ulmAmmoFuelGasolineBarrelDesc,"Tragbarer Behälter, in dem bis zu [decea3]60[-] Benzin gelagert werden kann."
ulmAmmoFuelJetFuel,"Flugzeugtreibstoff"
ulmAmmoFuelJetFuelDesc,"Tragbarer Behälter, der etwas Flugbenzin enthalten kann."
ulmArmorThanosGlovesAdmin,"Dev: Thanos-Handschuhe"
ulmArmorThanosGlovesAdminDesc,"Ausrüsten, um deine Belastbarkeit zu erhöhen."
ulmDoorSciFi01Blueprint,"Eisenschiebetür"
ulmDoorSciFi01PoweredBlueprint,"Angetriebene Schiebetür aus Eisen"
ulmDoorSciFi02Blueprint,"Glas-Schiebetür"
ulmDoorSciFi02ScreenBlueprint,"Info-Bildschirm"
ulmDoorSciFi02PoweredBlueprint,"Angetriebene Glasschiebetür"
ulmDoorSciFi03Blueprint,"Schiebetor"
ulmDoorSciFi03PoweredBlueprint,"Angetriebenes Schiebetor"
ulmDoorSciFi04Blueprint,"Schiebe-Hochdrucktür"
ulmDoorSciFi04PoweredBlueprint,"Angetriebenes Schiebe-Hochdrucktor"
ulmDrinkCurePoison,"Gift Gegenmittel"
ulmDrinkCurePoisonDesc,"Heilt langsam Vergiftungen und mildert ihre Auswirkungen leicht ab."
ulmDrinkCurePoisonBlueprint,"Gift Gegenmittel"
ulmDrinkPlasticBottleBeer,"Bier (Pl. Flasche)"
ulmDrinkPlasticBottleBeerDesc,"[decea3]300%[-] Faust-Nahkampf-Schaden\n[decea3]50%[-] Ausdauergewinn\nBetäubungsimmunität."
ulmDrinkPlasticBottleCoffee,"Kaffee (Pl. Flasche)"
ulmDrinkPlasticBottleCoffeeDesc,"Kaffee hält deine Ausdauer hoch und hilft dir, für eine begrenzte Zeit warm zu bleiben."
ulmDrinkPlasticBottleEmpty,"Leere Plastikflasche"
ulmDrinkPlasticBottleEmptyDesc,"Zum Transport von Wasser geeignet.\n[decea3] Wasser aus Flüssen, Seen oder Pools sind allerdings zu giftig, um sie zu verwenden."
ulmDrinkPlasticBottleHoney,"Honig (Pl. Flasche)"
ulmDrinkPlasticBottleHoneyDesc,"Honig ist eines der Wunder von Mutter Natur. Er gibt dir Energie, schmeckt gut und kann helfen, frühe Stadien von Infektionen und Lungenentzündungen zu bekämpfen.\n(kein Sofortheilmittel)"
ulmDrinkPlasticBottleMineralWater,"Mineralwasser (Pl. Flasche)"
ulmDrinkPlasticBottleMineralWaterDesc,"Reines Mineralwasser ist gut für die Verdauung und spendet eine Menge Flüssigkeit. Bei Anstrengung wirst du nicht so schnell hungrig und durstig."
ulmDrinkPlasticBottleRiverWater,"Trübes Wasser (Pl. Flasche)"
ulmDrinkPlasticBottleRiverWaterDesc,"Ohne Klärung nicht zum Verzehr empfohlen."
ulmDrinkPlasticBottleBoiledWater,"Frisches Wasser (Pl. Flasche)"
ulmDrinkPlasticBottleBoiledWaterDesc,"Hält dich für eine Weile hydriert."
ulmGunKineticAssaultRifleAKM12,"LCR-12"
ulmGunKineticAssaultRifleAKM12Desc,"Um den damaligen militärischen Standards zu entsprechen, wurde dieses Kampfgewehr mehrfach überarbeitet, bis es schließlich für die Massenproduktion zugelassen wurde."
ulmGunKineticAssaultRifleAug1,"UAR-1"
ulmGunKineticAssaultRifleAug1Desc,"Dieses Nahkampfgewehr mit relativ kleinem Profil hat sich im Laufe der Jahre als nützlich erwiesen, aber das Design ist in die Jahre gekommen."
ulmGunKineticAssaultRifleFamas1,"FAR-1"
ulmGunKineticAssaultRifleFamas1Desc,"Sein kurzer Lauf macht es im Nahkampf sehr nützlich, allerdings verwendet es kleinere Geschosse als herkömmliche Sturmgewehre."
lmGunKineticAssaultRifleM4,"MR4"
ulmGunKineticAssaultRifleM4Desc,"MR4 ist das neueste Modell des Sturmgewehrs, das vom Militär verwendet wird. Sein Design hat sich als wartungs- und bedienungsfreundlich erwiesen und bietet ein hohes Maß an Individualisierung mit den mitgelieferten Befestigungspunkten für verschiedene Anbauten."
ulmGunKineticAdjudicator,"Adjudicator"
ulmGunKineticAdjudicatorDesc,"Hohe Zuverlässigkeit und Haltbarkeit auf Kosten eines höheren Gewichts."
ulmGunKineticMicroSmg,"Mikro-SMG"
ulmGunKineticMicroSmgDesc,"Kleine und sehr kompakte Mikro-SMG in der Größe einer Pistole, die jedoch in der Lage ist, ihre Feinde mit einer hohen Feuerrate zu beschießen."
ulmGunKineticMinigun,"Minigun"
ulmGunKineticMinigunDesc,"Sei achtsam, wie lange du den Abzug drückst, sie liebt es sehr viel Munition zu verbrauchen."
ulmGunKineticPistolColt,"Cobra"
ulmGunKineticPistolColtDesc,"Zuverlässige halbautomatische, hochkalibrige klassische Waffe."
ulmGunKineticPistolDesertEagle,"Desert Mantis"
ulmGunKineticPistolDesertEagleDesc,"Wenn du eine halbautomatische Selbstlade-Handfeuerwaffe mit dem größten Kaliber suchst, dann ist diese Waffe genau das Richtige für dich."
ulmGunKineticPistolCondor,"Condor"
ulmGunKineticPistolCondorDesc,"Hochkalibrige halbautomatische Pistole mit Polymerrahmen."
ulmGunKineticPistolGlock,"Golconda"
ulmGunKineticPistolGlockDesc,"Zuverlässige halbautomatische Polymerrahmen-Pistole mit hochkapazitivem Clip."
ulmGunKineticPistolMakarov,"Mongrel"
ulmGunKineticPistolMakarovDesc,"Kompakte und leichte Kleinkaliberpistole. Gute Einstiegswaffe für die Selbstverteidigung."
ulmGunKineticPistolFalcon,"Falcon"
ulmGunKineticPistolFalconDesc,"Entwickelt als Mittelkaliberpistole mit ausgewogenem Rückstoß und Handling im Sinne."
ulmGunKineticPistolScrap1,"9mm Schrott-Pistole"
ulmGunKineticPistolScrap1Desc,"Aus zufälligen Schrottteilen zusammengebaut, explodiert überraschenderweise bei Gebrauch nicht."
ulmGunKineticPistolScrap1Blueprint,"9mm Schrott-Pistole"
ulmGunKineticPistolScrap1BlueprintDesc,"Anleitung zum Bau einer [decea3]Schrott-Pistole[-]."
ulmGunKineticPistolScrap2,"10mm Schrott-Pistole"
ulmGunKineticPistolScrap2Desc,"Sie ist stabiler, als sie aussieht, obwohl sie aus einem Haufen Metallschrott hergestellt wurde."
ulmGunKineticPistolScrap2Blueprint,"10mm Schrott-Pistole"
ulmGunKineticPistolScrap2BlueprintDesc,"Anleitung zum Bau einer [decea3]Schrott-Pistole[-]."
ulmGunKineticR90,"R-90"
ulmGunKineticR90Desc,"Kleine und sehr kompakte Maschinenpistole mit einem einzigartigen und geräumigen Magazin."
ulmGunKineticRevolverBugert9mm,"Badger-9"
ulmGunKineticRevolverBugert9mmDesc,"Sehr kompakter Revolver im Kaliber 9 mm. Ideale Waffe für das verdeckte Tragen."
ulmGunKineticRevolverBugert38Cal,"Badger-44"
ulmGunKineticRevolverBugert38CalDesc,"Sehr kompakter Revolver im Kaliber .44. Ideale Waffe zum verdeckten Tragen."
ulmGunKineticRocketLauncherAT4,"ATRL-1 Stinger"
ulmGunKineticRocketLauncherAT4Desc,"Standardmäßiger tragbarer ungelenkter Raketenwerfer in Militärqualität"
ulmGunKineticRocketLauncherM202,"INCL-4 Hellfire"
ulmGunKineticRocketLauncherM202Desc,"Tragbarer ungelenkter Raketenwerfer in Militärqualität mit 4 Rohren für schnelle Entladung."
ulmGunKineticSMGCricket,"Cricket"
ulmGunKineticSMGCricketDesc,"Trotz ihrer Größe kann diese kleine Maschinenpistole eine ordentliche Durchschlagskraft entwickeln."
ulmGunKineticSMGMP5,"SMP-5"
ulmGunKineticSMGMP5Desc,"Kleine, erschwingliche und kompakte leichte Maschinenpistole."
ulmGunKineticShotgunDoubleBarrel,"Lange Doppelläufige"
